condition,replicate,normalized_score
zero_shot,0,12.500000
zero_shot,1,12.500000
zero_shot,2,12.500000
zero_shot,3,12.500000
experience_in_context,0,38.541667
experience_in_context,1,38.541667
experience_in_context,2,38.541667
experience_in_context,3,38.541667
direct_sft,0,37.500000
direct_sft,1,45.833333
direct_sft,2,61.458333
direct_sft,3,43.750000
unpacked_epd,0,39.583333
unpacked_epd,1,41.666667
unpacked_epd,2,41.666667
unpacked_epd,3,40.625000
lossless_packed_epd,0,37.500000
lossless_packed_epd,1,31.250000
lossless_packed_epd,2,39.583333
lossless_packed_epd,3,35.416667
no_experience_teacher,0,6.250000
no_experience_teacher,1,5.208333
no_experience_teacher,2,11.458333
no_experience_teacher,3,5.208333
direct_sft_lr1e4,0,44.791667
direct_sft_lr1e4,1,50.000000
direct_sft_lr1e4,2,44.791667
direct_sft_lr1e4,3,42.708333
unpacked_epd_lr1e4,0,39.583333
unpacked_epd_lr1e4,1,39.583333
unpacked_epd_lr1e4,2,43.750000
unpacked_epd_lr1e4,3,40.625000
unpacked_epd_full_mapping,0,41.666667
unpacked_epd_full_mapping,1,47.916667
unpacked_epd_full_mapping,2,43.750000
unpacked_epd_full_mapping,3,41.666667
